spelling,IPA,pronunciation
admiral,ædmɚrəl,@dm3rel
admire,ədmaɪr,edm5r
admire,ædmaɪr,@dm5r
admit,ədmɪt,edm1t
admitted,ədmɪtəd,edm1ted
adopt,ədɑpt,edapt
adopted,ədɑptəd,edapted
adoption,ədɑpʃən,edapSen
adorable,ədɔrəbəl,edcrebel
adore,ədɔr,edcr
ads,ædz,@dz
adult,ədəlt,edelt
adults,ədʌlts,ed^lts
adults,ædəlts,@delts
advance,ədvæns,edv@ns
advanced,ədvænst,edv@nst
advantage,ædvæntɪdʒ,@dv@nt1G
adventure,ædvɛntʃɚr,@dvEnC3r
adventure,ədvɛntʃɚr,edvEnC3r
adverb,ædvɚrb,@dv3rb
advertisement,ædvɚrtaɪzmənt,@dv3rt5zment
advertisement,ædvɚrtɪsmənt,@dv3rt1sment
advertising,ædvɚrtaɪzɪŋ,@dv3rt5z1N
advice,ædvaɪs,@dv5s
advise,ədvaɪz,edv5z
advised,ədvaɪzd,edv5zd
aegean,eɪdʒiən,8Gien
aerial,ɛriəl,Eriel
aeronautical,ɛroʊnɑtəkəl,Eronatekel
aesthetic,ɛsθɛtɪk,EsTEt1k
afar,əfɑr,efar
affair,əfɛr,efEr
affairs,əfɛrz,efErz
affect,əfɛkt,efEkt
affect,æfɛkt,@fEkt
affected,əfɛktɪd,efEkt1d
affection,əfɛkʃən,efEkSen
affects,əfɛkts,efEkts
affects,æfɛkts,@fEkts
affidavit,æfɪdeɪvɪt,@f1d8v1t
affirm,əfɚrm,ef3rm
affirmative,əfɚrmətɪv,ef3rmet1v
afford,əfɔrd,efcrd
afraid,əfreɪd,efr8d
africa,æfrɪkə,@fr1ke
african,æfrɪkən,@fr1ken
aft,æft,@ft
after,æftɚr,@ft3r
afternoon,æftɚrnun,@ft3rnun
afterwards,æftɚrwɚrdz,@ft3rw3rdz
again,əgɛn,egEn
against,əgɛnst,egEnst
age,eɪdʒ,8G
agency,eɪdʒənsi,8Gensi
agenda,ədʒɛndə,eGEnde
agent,eɪdʒənt,8Gent
agents,eɪdʒənts,8Gents
ages,eɪdʒɪz,8G1z
aggravate,ægrəveɪt,@grev8t
aggressive,əgrɛsɪv,egrEs1v
aging,eɪdʒɪŋ,8G1N
agitate,ædʒəteɪt,@Get8t
ago,əgoʊ,ego
agony,ægəni,@geni
agree,əgri,egri
agreed,əgrid,egrid
agreement,əgrimənt,egriment
ah,ɑ,a
aha,ɑhɑ,aha
ahead,əhɛd,ehEd
ahem,əhɛm,ehEm
ahold,əhoʊld,ehold
ahoy,əhɔɪ,eh2
aid,eɪd,8d
aide,eɪd,8d
ail,eɪl,8l
aim,eɪm,8m
air,ɛr,Er
airborne,ɛrbɔrn,Erbcrn
aircraft,ɛrkræft,Erkr@ft
aircraft,ɛrkræft,Erkr@ft
airforce,ɛrfɔrs,Erfcrs
airline,ɛrlaɪn,Erl5n
airplane,ɛrpleɪn,Erpl8n
airport,ɛrpɔrt,Erpcrt
aisle,aɪl,5l
al,æl,@l
alan,ælən,@len
alarm,əlɑrm,elarm
albert,ælbɚrt,@lb3rt
album,ælbəm,@lbem
alcohol,ælkəhɑl,@lkehal
alcoholic,ælkəhɑlɪk,@lkehal1k
ale,eɪl,8l
alert,əlɚrt,el3rt
alexander,ælɪgzændɚr,@l1gz@nd3r
alfred,ælfrɪd,@lfr1d
alfredo,ælfreɪdoʊ,@lfr8do
algae,ældʒi,@lGi
algebra,ældʒəbrə,@lGebre
algorithm,ælgɚrɪðm,@lg3r1Dm
alias,eɪliəs,8lies
alibi,æləbaɪ,@leb5
alice,ælɪs,@l1s
alien,eɪliən,8lien
aliens,eɪliənz,8lienz
alike,əlaɪk,el5k
alison,ælɪsən,@l1sen
alive,əlaɪv,el5v
all,ɔl,cl
alleged,əlɛdʒd,elEGd
allen,ælən,@len
allergic,əlɚrdʒɪk,el3rG1k
allergy,ælɚrdʒi,@l3rGi
alley,æli,@li
allies,ælaɪz,@l5z
allies,əlaɪz,el5z
alligator,æləgeɪtɚr,@leg8t3r
allow,əlaʊ,elO
allowance,əlaʊəns,elOens
allowed,əlaʊd,elOd
allowing,əlaʊɪŋ,elO1N
allows,əlaʊz,elOz
ally,ælaɪ,@l5
ally,əlaɪ,el5
ally,æli,@li
alma,ɑlmə,alme
almond,ɑlmənd,almend
almost,ɔlmoʊst,clmost
aloft,əlɑft,elaft
alone,əloʊn,elon
along,əlɔŋ,elcN
aloud,əlaʊd,elOd
alphabet,ælfəbɛt,@lfebEt
alphabetical,ælfəbɛtɪkəl,@lfebEt1kel
alphabetize,ælfəbətaɪz,@lfebet5z
alps,ælps,@lps
already,ɔlrɛdi,clrEdi
alright,ɔlraɪt,clr5t
also,ɔlsoʊ,clso
altar,ɔltɚr,clt3r
alter,ɑltɚr,alt3r
although,ɔlðoʊ,clDo
altitude,æltɪtud,@lt1tud
alto,æltoʊ,@lto
altogether,ɔltəgɛðɚr,cltegED3r
alum,æləm,@lem
aluminum,əlumənəm,elumenem
always,ɔlweɪz,clw8z
am,æm,@m
amalgamation,əmælgəmeɪʃən,em@lgem8Sen
amateur,æmətʃɚr,@meC3r
amateur,æmətɚr,@met3r
amaze,əmeɪz,em8z
amazed,əmeɪzd,em8zd
amazing,əmeɪzɪŋ,em8z1N
ambassador,æmbæsədɚr,@mb@sed3r
ambidextrous,æmbɪdɛkstrəs,@mb1dEkstres
ambition,æmbɪʃən,@mb1Sen
ambitious,æmbɪʃəs,@mb1Ses
ambivalent,æmbɪvələnt,@mb1velent
ambulance,æmbjuləns,@mbjulens
ambush,æmbʊʃ,@mbUS
amelia,əmiljə,emilje
amen,eɪmɛn,8mEn
amen,ɑmɛn,amEn
america,əmɛrɪkə,emEr1ke
american,əmɛrɪkən,emEr1ken
americans,əmɛrɪkənz,emEr1kenz
amethyst,æmɪθɪst,@m1T1st
amigo,əmigoʊ,emigo
ammo,æmoʊ,@mo
ammonia,əmoʊnjə,emonje
ammunition,æmjənɪʃən,@mjen1Sen
amnesia,æmniʒə,@mniZe
among,əmʌŋ,em^N
amongst,əmʌŋst,em^Nst
amount,əmaʊnt,emOnt
ampersand,æmpɚrsænd,@mp3rs@nd
amphibian,æmfɪbiən,@mf1bien
amuse,əmjuz,emjuz
amused,əmjuzd,emjuzd
amy,eɪmi,8mi
an,æn,@n
ana,ænə,@ne
ana,ɑnə,ane
anachronism,ənækrənɪzm,en@kren1zm
ancestors,ænsɛstɚrz,@nsEst3rz
anchor,æŋkɚr,@Nk3r
anchovy,æntʃoʊvi,@nCovi
ancient,eɪntʃənt,8nCent
and,ænd,@nd
anderson,ændɚrsən,@nd3rsen
andre,ɑndreɪ,andr8
andrew,ændru,@ndru
anemone,ənɛməni,enEmeni
anesthesia,ænɪsθiʒiə,@n1sTiZie
angel,eɪndʒəl,8nGel
angeles,ændʒəlɪs,@nGel1s
angeles,ændʒələs,@nGeles
angels,eɪndʒəlz,8nGelz
anger,æŋgɚr,@Ng3r
angle,æŋgəl,@Ngel
angry,æŋgri,@Ngri
angst,æŋst,@Nst
animal,ænəməl,@nemel
animals,ænəməlz,@nemelz
animated,ænəmeɪtɪd,@nem8t1d
ankle,æŋkəl,@Nkel
ann,æn,@n
anna,ænə,@ne
anne,æn,@n
annex,ænɛks,@nEks
annie,æni,@ni
anniversary,ænəvɚrsəri,@nev3rseri
announced,ənoʊnst,enonst
announcer,ənaʊnsɚr,enOns3r
annoy,ənɔɪ,en2
annoyed,ənɔɪd,en2d
annoying,ənɔɪɪŋ,en21N
anonymous,ənɑnəməs,enanemes
another,ənʌðɚr,en^D3r
answer,ænsɚr,@ns3r
answered,ænsɚrd,@ns3rd
answers,ænsɚrz,@ns3rz
ant,ænt,@nt
antelope,æntəloʊp,@ntelop
antenna,æntɛnə,@ntEne
anthill,ænthɪl,@nth1l
anthony,ænθəni,@nTeni
antique,æntik,@ntik
antler,æntlɚr,@ntl3r
antonio,æntoʊnioʊ,@ntonio
anxiety,æŋzaɪəti,@Nz5eti
any,ɛni,Eni
anybody,ɛnibədi,Enibedi
anyhow,ɛnihaʊ,EnihO
anymore,ɛnimɔr,Enimcr
anyone,ɛniwʌn,Eniw^n
anyplace,ɛnipleɪs,Enipl8s
anything,ɛniθɪŋ,EniT1N
anytime,ɛnitaɪm,Enit5m
anyway,ɛniweɪ,Eniw8
anywhere,ɛniwɛr,EniwEr
apache,əpætʃi,ep@Ci
apart,əpɑrt,epart
apartheid,əpɑrtaɪt,epart5t
apartment,əpɑrtmənt,epartment
apartments,əpɑrtmənts,epartments
ape,eɪp,8p
aperture,æpɚrtʃər,@p3rCer
apes,eɪps,8ps
apex,eɪpɛks,8pEks
aphrodisiac,æfroʊdiziæk,@frodizi@k
apologize,əpɑlədʒaɪz,epaleG5z
apology,əpɑlədʒi,epaleGi
apostrophe,əpɑstrəfi,epastrefi
apothecary,əpɑθəkɛri,epaTekEri
apparently,əpɛrəntli,epErentli
appeal,əpil,epil
appear,əpɪr,ep1r
appears,əpɪrz,ep1rz
appease,əpiz,epiz
appendix,əpɛndɪks,epEnd1ks
applaud,əplɔd,eplcd
applause,əplɔz,eplcz
apple,æpəl,@pel
applejack,æpəldʒæk,@pelG@k
applesauce,æpəlsɔs,@pelscs
appliance,əplaɪəns,epl5ens
applied,əplaɪd,epl5d
apply,əplaɪ,epl5
appointed,əpɔɪntəd,ep2nted
appointed,əpɔɪntɪd,ep2nt1d
appointment,əpɔɪntmənt,ep2ntment
appreciate,əpriʃieɪt,epriSi8t
appreciated,əpriʃieɪtɪd,epriSi8t1d
appreciation,əpriʃieɪʃən,epriSi8Sen
apprehension,æprɪhɛnʃən,@pr1hEnSen
approach,əproʊtʃ,eproC
appropriate,əproʊpriət,epropriet
appropriate,əproʊprieɪt,epropri8t
approved,əpruvd,epruvd
apricot,eɪprəkɑt,8prekat
april,eɪprəl,8prel
apron,eɪprən,8pren
apropos,æprəpoʊ,@prepo
apt,æpt,@pt
aquarium,əkwɛriəm,ekwEriem
arab,ærəb,@reb
arab,ɛrəb,Ereb
arc,ɑrk,ark
arcade,ɑrkeɪd,ark8d
arch,ɑrtʃ,arC
archaic,ɑrkeɪɪk,ark81k
archer,ɑrtʃɚr,arC3r
archie,ɑrtʃi,arCi
archipelago,ɑrkəpɛləgoʊ,arkepElego
architect,ɑrkətɛkt,arketEkt
arctic,ɑrktɪk,arkt1k
arduous,ɑrdʒuəs,arGues
are,ɑr,ar
area,ɛriə,Erie
arena,ərinə,erine
argh,ɑrg,arg
argue,ɑrgju,argju
argument,ɑrgjumənt,argjument
arid,ærəd,@red
arid,ɛrəd,Ered
arise,əraɪz,er5z
aristocracy,ɛrəstɑkrəsi,Erestakresi
arithmetic,ərɪθmətɪk,er1Tmet1k
ark,ɑrk,ark
arm,ɑrm,arm
armchair,ɑrmtʃɛr,armCEr
armed,ɑrmd,armd
armoire,ɑrmwɑr,armwar
armor,ɑrmɚr,arm3r
armpit,ɑrmpɪt,armp1t
armrest,ɑrmrɛst,armrEst
arms,ɑrmz,armz
armstrong,ɑrmstrɑŋ,armstraN
armstrong,ɑrmstrɔŋ,armstrcN
army,ɑrmi,armi
around,əraʊnd,erOnd
arraigned,əreɪnd,er8nd
arrange,əreɪndʒ,er8nG
arranged,əreɪndʒd,er8nGd
array,əreɪ,er8
arrest,ərɛst,erEst
arrested,ərɛstəd,erEsted
arrested,ərɛstɪd,erEst1d
arrhythmia,ərɪðmiə,er1Dmie
arrival,əraɪvəl,er5vel
arrive,əraɪv,er5v
arrived,əraɪvd,er5vd
arrogant,ɛrəgənt,Eregent
arrow,æroʊ,@ro
arrow,ɛroʊ,Ero
arsenal,ɑrsənəl,arsenel
art,ɑrt,art
artery,ɑrtɚri,art3ri
arthur,ɑrθɚr,arT3r
artichoke,ɑrtɪtʃoʊk,art1Cok
article,ɑrtəkəl,artekel
articles,ɑrtəkəlz,artekelz
articles,ɑrtɪkəlz,art1kelz
articulate,ɑrtɪkjuleɪt,art1kjul8t
artifice,ɑrtəfɪs,artef1s
artificial,ɑrtəfɪʃəl,artef1Sel
artillery,ɑrtɪlɚri,art1l3ri
artist,ɑrtɪst,art1st
artistic,ɑrtɪstɪk,art1st1k
arts,ɑrts,arts
as,æz,@z
asbestos,æsbɛstəs,@sbEstes
ash,æʃ,@S
ashamed,əʃeɪmd,eS8md
ashes,æʃɪz,@S1z
ashore,əʃɔr,eScr
ashtray,æʃtreɪ,@Str8
asia,eɪʒə,8Ze
asian,eɪʒən,8Zen
aside,əsaɪd,es5d
ask,æsk,@sk
askance,əskæns,esk@ns
asked,æskt,@skt
asking,æskɪŋ,@sk1N
asks,æsks,@sks
asleep,əslip,eslip
asparagus,əspɛrəgəs,espEreges
aspect,æspɛkt,@spEkt
asphalt,æsfɑlt,@sfalt
asphyxiate,əsfɪksieɪt,esf1ksi8t
aspirin,æspɚrɪn,@sp3r1n
ass,æs,@s
assassin,əsæsən,es@sen
assassination,əsæsəneɪʃən,es@sen8Sen
assault,əsɔlt,esclt
assemble,əsɛmbəl,esEmbel
assembly,əsɛmbli,esEmbli
assert,əsɚrt,es3rt
asset,æsɛt,@sEt
assets,æsɛts,@sEts
asshole,æshoʊl,@shol
assignment,əsaɪnmənt,es5nment
assist,əsɪst,es1st
assistant,əsɪstənt,es1stent
associates,əsoʊsiəts,esosiets
associates,əsoʊsieɪts,esosi8ts
associates,əsoʊʃiəts,esoSiets
associates,əsoʊʃieɪts,esoSi8ts
assume,əsum,esum
assumed,əsumd,esumd
assuming,əsumɪŋ,esum1N
assure,əʃʊr,eSUr
assured,əʃɚrd,eS3rd
asthma,æzmə,@zme
astronaut,æstrənɑt,@strenat
asylum,əsaɪləm,es5lem
at,æt,@t
ate,eɪt,8t
athlete,æθlit,@Tlit
athletics,æθlɛtɪks,@TlEt1ks
atlanta,ætlæntə,@tl@nte
atlantic,ætlæntɪk,@tl@nt1k
atlantis,ætlæntɪs,@tl@nt1s
atlas,ætləs,@tles
atmosphere,ætməsfɪr,@tmesf1r
atom,ætəm,@tem
atomic,ətɑmɪk,etam1k
atrophy,ætrəfi,@trefi
attach,ətætʃ,et@C
attached,ətætʃt,et@Ct
attack,ətæk,et@k
attacked,ətækt,et@kt
attacker,ətækɚr,et@k3r
attacking,ətækɪŋ,et@k1N
attacks,ətæks,et@ks
attempt,ətɛmpt,etEmpt
attempted,ətɛmptəd,etEmpted
attend,ətɛnd,etEnd
attend,ətɛnd,etEnd
attendance,ətɛndəns,etEndens
attending,ətɛndɪŋ,etEnd1N
attention,ətɛnʃən,etEnSen
attic,ætɪk,@t1k
attitude,ætətud,@tetud
attorney,ətɚrni,et3rni
attract,ətrækt,etr@kt
attracted,ətræktəd,etr@kted
attraction,ətrækʃən,etr@kSen
attractive,ətræktɪv,etr@kt1v
auction,ɔkʃən,ckSen
auction,ɑkʃən,akSen
audience,ɑdiəns,adiens
audio,ɑdioʊ,adio
audit,ɔdɪt,cd1t
audition,ɑdɪʃən,ad1Sen
auditorium,ɔdətɔriəm,cdetcriem
august,ɑgəst,agest
august,ɔgəst,cgest
aunt,ænt,@nt
aunt,ɔnt,cnt
auntie,ɔnti,cnti
auntie,ænti,@nti
aura,ɔrə,cre
auspice,ɔspɪs,csp1s
austere,ɔstɪr,cst1r
austin,ɔstɪn,cst1n
australia,ɔstreɪljə,cstr8lje
authentic,ɔθɛntɪk,cTEnt1k
author,ɔθɚr,cT3r
authorities,əθɔrətiz,eTcretiz
authority,əθɔrəti,eTcreti
authorized,ɔθɚraɪzd,cT3r5zd
auto,ɔtoʊ,cto
auto,ɔtoʊ,cto
autograph,ɔtəgræf,ctegr@f
autographed,ɔtəgræft,ctegr@ft
automatic,ɔtəmætɪk,ctem@t1k
automobile,ɔtəmoʊbil,ctemobil
autopsy,ɔtɑpsi,ctapsi
autumn,ɔtəm,ctem
available,əveɪləbəl,ev8lebel
avalanche,ævəlæntʃ,@vel@nC
avenue,ævənu,@venu
average,ævɚrɪdʒ,@v3r1G
average,ævrɪdʒ,@vr1G
avert,əvɚrt,ev3rt
aviator,eɪvieɪtɚr,8vi8t3r
avid,ævɪd,@v1d
avoid,əvɔɪd,ev2d
avoiding,əvɔɪdɪŋ,ev2d1N
aw,ɔ,c
await,əweɪt,ew8t
awake,əweɪk,ew8k
awaken,əweɪkən,ew8ken
award,əwɔrd,ewcrd
award,əwɔrd,ewcrd
awards,əwɔrdz,ewcrdz
aware,əwɛr,ewEr
away,əweɪ,ew8
awesome,ɔsəm,csem
awful,ɔfəl,cfel
awfully,ɔfəli,cfeli
awhile,əwaɪl,ew5l
awhile,əwaɪl,ew5l
awkward,ɔkwərd,ckwerd
awning,ɑnɪŋ,an1N
ax,æks,@ks
axe,æks,@ks
axle,æksəl,@ksel
ayatollah,aɪətoʊlə,5etole
aycock,eɪkɑk,8kak
aye,aɪ,5
babble,bæbəl,b@bel
babe,beɪb,b8b
babies,beɪbiz,b8biz
baboon,bəbun,bebun
baby,beɪbi,b8bi
babycarriage,beɪbikærɪdʒ,b8bik@r1G
babyish,beɪbiɪʃ,b8bi1S
babysit,beɪbisɪt,b8bis1t
babysitter,beɪbisɪtɚr,b8bis1t3r
bachelor,bætʃəlɚr,b@Cel3r
bachelor,bætʃlɚr,b@Cl3r
back,bæk,b@k
backbone,bækboʊn,b@kbon
backdoor,bækdɔr,b@kdcr
backed,bækt,b@kt
background,bækgraʊnd,b@kgrOnd
backing,bækɪŋ,b@k1N
backpack,bækpæk,b@kp@k
backs,bæks,b@ks
backseat,bæksit,b@ksit
backside,bæksaɪd,b@ks5d
backstage,bæksteɪdʒ,b@kst8G
backup,bækəp,b@kep
backward,bækwɚrd,b@kw3rd
backwards,bækwɚrdz,b@kw3rdz
backyard,bækjɑrd,b@kjard
bacon,beɪkən,b8ken
bad,bæd,b@d
bade,beɪd,b8d
badge,bædʒ,b@G
badger,bædʒɚr,b@G3r
badly,bædli,b@dli
badness,bædnəs,b@dnes
bag,bæg,b@g
bagful,bægfʊl,b@gfUl
baggage,bægɪdʒ,b@g1G
baggie,bægi,b@gi
baggy,bægi,b@gi
bags,bægz,b@gz
bail,beɪl,b8l
bailey,beɪli,b8li
bait,beɪt,b8t
baits,beɪts,b8ts
bake,beɪk,b8k
baked,beɪkt,b8kt
baker,beɪkɚr,b8k3r
bakery,beɪkɚri,b8k3ri
bakes,beɪks,b8ks
balance,bæləns,b@lens
balanced,bælənst,b@lenst
balcony,bælkəni,b@lkeni
bald,bɔld,bcld
baldness,bɔldnəs,bcldnes
baldrick,bɑldrək,baldrek
bale,beɪl,b8l
balk,bɔk,bck
ball,bɑl,bal
ballerina,bælɚrinə,b@l3rine
ballet,bæleɪ,b@l8
balloon,bəlun,belun
balloons,bəlunz,belunz
ballot,bælət,b@let
ballpark,bɔlpɑrk,bclpark
ballroom,bɔlrum,bclrum
balls,bɔlz,bclz
balm,bɑlm,balm
baltimore,bɔltəmɔr,bcltemcr
bam,bæm,b@m
bamboo,bæmbu,b@mbu
ban,bæn,b@n
banana,bənænə,ben@ne
bananas,bənænəz,ben@nez
band,bænd,b@nd
bandage,bændɪdʒ,b@nd1G
bandaid,bændeɪd,b@nd8d
bandit,bændɪt,b@nd1t
bands,bændz,b@ndz
bane,beɪn,b8n
bang,bæŋ,b@N
banging,bæŋɪŋ,b@N1N
bank,bæŋk,b@Nk
banker,bæŋkɚr,b@Nk3r
banks,bæŋks,b@Nks
banner,bænɚr,b@n3r
banquet,bæŋkwət,b@Nkwet
baptism,bæptɪzm,b@pt1zm
baptize,bæptaɪz,b@pt5z
bar,bɑr,bar
barbara,bɑrbərə,barbere
barbecue,bɑrbɪkju,barb1kju
barber,bɑrbɚr,barb3r
barbershop,bɑrbɚrʃɑp,barb3rSap
barbwire,bɑrbwaɪɚr,barbw53r
bard,bɑrd,bard
bare,bɛr,bEr
barefoot,bɛrfʊt,bErfUt
barefooted,bɛrfʊtəd,bErfUted
barely,bɛrli,bErli
barf,bɑrf,barf
bargain,bɑrgən,bargen
barge,bɑrdʒ,barG
bark,bɑrk,bark
barking,bɑrkɪŋ,bark1N
barn,bɑrn,barn
barney,bɑrni,barni
barnyard,bɑrnjɑrd,barnjard
baron,bærən,b@ren
baron,bɛrən,bEren
barrack,bɛrək,bErek
barrack,bærək,b@rek
barracuda,bɛrəkudə,bErekude
barrage,bərɑʒ,beraZ
barre,bɑr,bar
barrel,bærəl,b@rel
barrel,bɛrəl,bErel
barrette,bərɛt,berEt
barrier,bæriɚr,b@ri3r
barrier,bɛriɚr,bEri3r
barry,bæri,b@ri
barry,bɛri,bEri
bars,bɑrz,barz
bart,bɑrt,bart
bartender,bɑrtɛndɚr,bartEnd3r
bas,bæs,b@s
base,beɪs,b8s
baseball,beɪsbɔl,b8sbcl
based,beɪst,b8st
basement,beɪsmənt,b8sment
bash,bæʃ,b@S
bashful,bæʃfəl,b@Sfel
basic,beɪsɪk,b8s1k
basically,beɪsɪkəli,b8s1keli
basics,beɪsɪks,b8s1ks
basin,beɪsən,b8sen
basis,beɪsɪs,b8s1s
bask,bæsk,b@sk
basket,bæskɪt,b@sk1t
basketball,bæskətbɔl,b@sketbcl
bass,bæs,b@s
bass,beɪs,b8s
bastard,bæstɚrd,b@st3rd
bastards,bæstɚrdz,b@st3rdz
baste,beɪst,b8st
bat,bæt,b@t
batch,bætʃ,b@C
bate,beɪt,b8t
bath,bæθ,b@T
bathe,beɪð,b8D
bathed,beɪðd,b8Dd
bathes,beɪðz,b8Dz
bathing,beɪðɪŋ,b8D1N
bathroom,bæθrum,b@Trum
bathtub,bæθtʌb,b@Tt^b
batman,bætmæn,b@tm@n
baton,bətɑn,betan
bats,bæts,b@ts
battalion,bətæljən,bet@ljen
batter,bætɚr,b@t3r
batteries,bætɚriz,b@t3riz
battery,bætɚri,b@t3ri
battle,bætəl,b@tel
battles,bætəlz,b@telz
baxter,bækstɚr,b@kst3r
bay,beɪ,b8
bayonet,beɪənɛt,b8enEt
be,bi,bi
beach,bitʃ,biC
beachball,bitʃbɑl,biCbal
beacon,bikən,biken
bead,bid,bid
beagle,bigəl,bigel
beak,bik,bik
beaker,bikɚr,bik3r
beam,bim,bim
bean,bin,bin
beans,binz,binz
bear,bɛr,bEr
beard,bɪrd,b1rd
bearded,bɪrdəd,b1rded
beardy,bɪrdi,b1rdi
bearing,bɛrɪŋ,bEr1N
bearlike,bɛrlaɪk,bErl5k
bears,bɛrz,bErz
beast,bist,bist
beat,bit,bit
beaten,bitən,biten
beating,bitɪŋ,bit1N
beats,bits,bits
beau,boʊ,bo
beautiful,bjutəfəl,bjutefel
beautifully,bjutəfəli,bjutefeli
beauty,bjuti,bjuti
beaver,bivɚr,biv3r
became,bɪkeɪm,b1k8m
became,bikeɪm,bik8m
because,bɪkʌz,b1k^z
because,bɪkɔz,b1kcz
because,bɪkɑz,b1kaz
because,bɪkəz,b1kez
beck,bɛk,bEk
become,bɪkʌm,b1k^m
becomes,bɪkʌmz,b1k^mz
becoming,bɪkʌmɪŋ,b1k^m1N
bed,bɛd,bEd
bedbug,bɛdbʌg,bEdb^g
bedding,bɛdɪŋ,bEd1N
bedroom,bɛdrum,bEdrum
beds,bɛdz,bEdz
bedside,bɛdsaɪd,bEds5d
bedtime,bɛdtaɪm,bEdt5m
bee,bi,bi
beech,bitʃ,biC
beef,bif,bif
beehive,bihaɪv,bih5v
beek,bik,bik
been,bɪn,b1n
beep,bip,bip
beeping,bipɪŋ,bip1N
beer,bɪr,b1r
beers,bɪrz,b1rz
bees,biz,biz
beet,bit,bit
beetle,bitəl,bitel
before,bɪfɔr,b1fcr
beforehand,bɪfɔrhænd,b1fcrh@nd
beg,bɛg,bEg
began,bɪgæn,b1g@n
began,bigæn,big@n
beggar,bɛgɚr,bEg3r
begged,bɛgd,bEgd
begging,bɛgɪŋ,bEg1N
begin,bɪgɪn,b1g1n
beginner,bɪgɪnɚr,b1g1n3r
beginning,bɪgɪnɪŋ,b1g1n1N
begins,bɪgɪnz,b1g1nz
